,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
CDSOCIAL,Does confusion or memory loss interfere with work or social activities,Cognitive Decline,,5,335,Num,CDSOCIAL,"Question:  During the past 12 months, how often has confusion or memory loss interfered with your ability to work, volunteer, or engage in social activities outside the home?","{'1': {'Value Label': 'Always', 'Frequency': '458', 'Percentage': '6.18', 'Weighted Percentage': '6.57'}, '2': {'Value Label': 'Usually', 'Frequency': '410', 'Percentage': '5.53', 'Weighted Percentage': '7.92'}, '3': {'Value Label': 'Sometimes', 'Frequency': '1,313', 'Percentage': '17.71', 'Weighted Percentage': '20.23'}, '4': {'Value Label': 'Rarely', 'Frequency': '1,387', 'Percentage': '18.71', 'Weighted Percentage': '17.40'}, '5': {'Value Label': 'Never', 'Frequency': '3,726', 'Percentage': '50.25', 'Weighted Percentage': '46.42'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '106', 'Percentage': '1.43', 'Weighted Percentage': '1.24'}, '9': {'Value Label': 'Refused', 'Frequency': '15', 'Percentage': '0.20', 'Weighted Percentage': '0.21'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is less than 45; or Module 13.01, CIMEMLOS, is coded 2 or 9', 'Frequency': '437,717', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,13
CDDISCUS,Have you discussed your confusion or memory loss with a health care professional?,Cognitive Decline,,6,336,Num,CDDISCUS,Question:  Have you or anyone else discussed your confusion or memory loss with a health care professional?,"{'1': {'Value Label': 'Yes', 'Frequency': '3,432', 'Percentage': '46.38', 'Weighted Percentage': '46.46'}, '2': {'Value Label': 'No', 'Frequency': '3,862', 'Percentage': '52.19', 'Weighted Percentage': '52.10'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '97', 'Percentage': '1.31', 'Weighted Percentage': '1.32'}, '9': {'Value Label': 'Refused', 'Frequency': '9', 'Percentage': '0.12', 'Weighted Percentage': '0.12'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is less than 45; or Module 13.01, CIMEMLOS, is coded 2 or 9', 'Frequency': '437,732', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,13
CAREGIV1,Provided regular care for family or friend,Caregiver,,1,337,Num,CAREGIV1,"Question:  During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?","{'1': {'Value Label': 'Yes', 'Frequency': '19,662', 'Percentage': '19.96', 'Weighted Percentage': '19.71'}, '2': {'Value Label': 'No\x97Go to Module 14.09 CRGVEXPT', 'Frequency': '78,174', 'Percentage': '79.36', 'Weighted Percentage': '79.56'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to Module 14.09 CRGVEXPT', 'Frequency': '262', 'Percentage': '0.27', 'Weighted Percentage': '0.26'}, '8': {'Value Label': 'Caregiving recipient died in past 30 days\x97Go to next module', 'Frequency': '177', 'Percentage': '0.18', 'Weighted Percentage': '0.18'}, '9': {'Value Label': 'Refused\x97Go to Module 14.09 CRGVEXPT', 'Frequency': '235', 'Percentage': '0.24', 'Weighted Percentage': '0.28'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '346,622', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVREL4,Relationship Of Person To Whom You Are Giving Care?,Caregiver,,2,338-339,Num,CRGVREL4,Question:  What is his or her relationship to you?,"{'1': {'Value Label': 'Mother', 'Frequency': '3,986', 'Percentage': '20.30', 'Weighted Percentage': '21.33'}, '2': {'Value Label': 'Father', 'Frequency': '1,463', 'Percentage': '7.45', 'Weighted Percentage': '8.49'}, '3': {'Value Label': 'Mother-in-law', 'Frequency': '668', 'Percentage': '3.40', 'Weighted Percentage': '3.37'}, '4': {'Value Label': 'Father-in-law', 'Frequency': '245', 'Percentage': '1.25', 'Weighted Percentage': '1.06'}, '5': {'Value Label': 'Child', 'Frequency': '1,968', 'Percentage': '10.02', 'Weighted Percentage': '10.38'}, '6': {'Value Label': 'Husband', 'Frequency': '2,243', 'Percentage': '11.42', 'Weighted Percentage': '9.66'}, '7': {'Value Label': 'Wife', 'Frequency': '1,904', 'Percentage': '9.70', 'Weighted Percentage': '7.78'}, '8': {'Value Label': 'Live-in partner', 'Frequency': '272', 'Percentage': '1.39', 'Weighted Percentage': '1.22'}, '9': {'Value Label': 'Brother or brother-in-law', 'Frequency': '684', 'Percentage': '3.48', 'Weighted Percentage': '3.67'}, '10': {'Value Label': 'Sister or sister-in-law', 'Frequency': '833', 'Percentage': '4.24', 'Weighted Percentage': '3.89'}, '11': {'Value Label': 'Grandmother', 'Frequency': '557', 'Percentage': '2.84', 'Weighted Percentage': '5.01'}, '12': {'Value Label': 'Grandfather', 'Frequency': '181', 'Percentage': '0.92', 'Weighted Percentage': '1.71'}, '13': {'Value Label': 'Grandchild', 'Frequency': '214', 'Percentage': '1.09', 'Weighted Percentage': '0.83'}, '14': {'Value Label': 'Other relative', 'Frequency': '1,160', 'Percentage': '5.91', 'Weighted Percentage': '7.40'}, '15': {'Value Label': 'Non-relative/Family friend', 'Frequency': '3,002', 'Percentage': '15.29', 'Weighted Percentage': '12.89'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '57', 'Percentage': '0.29', 'Weighted Percentage': '0.34'}, '99': {'Value Label': 'Refused', 'Frequency': '197', 'Percentage': '1.00', 'Weighted Percentage': '0.97'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9', 'Frequency': '425,498', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVLNG1,How Long Provided Care For Person.,Caregiver,,3,340,Num,CRGVLNG1,Question:  For how long have you provided care for that person?,"{'1': {'Value Label': 'Less than 30 days', 'Frequency': '3,023', 'Percentage': '15.44', 'Weighted Percentage': '14.57'}, '2': {'Value Label': '1 month to less than 6 months', 'Frequency': '2,437', 'Percentage': '12.44', 'Weighted Percentage': '12.47'}, '3': {'Value Label': '6 months to less than 2 years', 'Frequency': '3,496', 'Percentage': '17.85', 'Weighted Percentage': '17.40'}, '4': {'Value Label': '2 years to less than 5 years', 'Frequency': '4,194', 'Percentage': '21.42', 'Weighted Percentage': '21.52'}, '5': {'Value Label': '5 or more years', 'Frequency': '5,987', 'Percentage': '30.57', 'Weighted Percentage': '31.59'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '322', 'Percentage': '1.64', 'Weighted Percentage': '1.77'}, '9': {'Value Label': 'Refused', 'Frequency': '124', 'Percentage': '0.63', 'Weighted Percentage': '0.68'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9', 'Frequency': '425,549', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVHRS1,How Many Hours Do You Provide Care For Person?,Caregiver,,4,341,Num,CRGVHRS1,"Question:  In an average week, how many hours do you provide care or assistance?","{'1': {'Value Label': 'Up to 8 hours per week', 'Frequency': '9,379', 'Percentage': '48.02', 'Weighted Percentage': '45.25'}, '2': {'Value Label': '9 to 19 hours per week', 'Frequency': '2,656', 'Percentage': '13.60', 'Weighted Percentage': '13.82'}, '3': {'Value Label': '20 to 39 hours per week', 'Frequency': '2,137', 'Percentage': '10.94', 'Weighted Percentage': '11.37'}, '4': {'Value Label': '40 hours or more', 'Frequency': '3,696', 'Percentage': '18.92', 'Weighted Percentage': '20.76'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '1,433', 'Percentage': '7.34', 'Weighted Percentage': '7.73'}, '9': {'Value Label': 'Refused', 'Frequency': '232', 'Percentage': '1.19', 'Weighted Percentage': '1.06'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9', 'Frequency': '425,599', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVPRB3,"What Is The Major Health Problem, Illness, Disability For Care For Person?",Caregiver,,5,342-343,Num,CRGVPRB3,"Question:  What is the main health problem, long-term illness, or disability that the person you care for has?","{'1': {'Value Label': 'Arthritis/ rheumatism', 'Frequency': '598', 'Percentage': '3.07', 'Weighted Percentage': '3.09'}, '2': {'Value Label': 'Asthma', 'Frequency': '82', 'Percentage': '0.42', 'Weighted Percentage': '0.44'}, '3': {'Value Label': 'Cancer', 'Frequency': '1,483', 'Percentage': '7.62', 'Weighted Percentage': '7.62'}, '4': {'Value Label': 'Chronic respiratory conditions such as emphysema or COPD', 'Frequency': '661', 'Percentage': '3.39', 'Weighted Percentage': '3.86'}, '5': {'Value Label': 'Alzheimer´s disease, dementia or other cognitive impairment disorder\x97Go to Module 14.07 CRGVPER1', 'Frequency': '2,133', 'Percentage': '10.95', 'Weighted Percentage': '9.90'}, '6': {'Value Label': 'Developmental disabilities such as autism, Down´s Syndrome, and spina bifida', 'Frequency': '900', 'Percentage': '4.62', 'Weighted Percentage': '4.98'}, '7': {'Value Label': 'Diabetes', 'Frequency': '801', 'Percentage': '4.11', 'Weighted Percentage': '4.39'}, '8': {'Value Label': 'Heart disease, hypertension, stroke', 'Frequency': '1,488', 'Percentage': '7.64', 'Weighted Percentage': '7.46'}, '9': {'Value Label': 'Human Immunodeficiency Virus Infection (H.I.V.)', 'Frequency': '18', 'Percentage': '0.09', 'Weighted Percentage': '0.06'}, '10': {'Value Label': 'Mental illnesses, such as anxiety, depression, or schizophrenia', 'Frequency': '837', 'Percentage': '4.30', 'Weighted Percentage': '4.88'}, '11': {'Value Label': 'Other organ failure or diseases such as kidney or liver problems', 'Frequency': '463', 'Percentage': '2.38', 'Weighted Percentage': '2.51'}, '12': {'Value Label': 'Substance abuse or addiction disorders', 'Frequency': '72', 'Percentage': '0.37', 'Weighted Percentage': '0.37'}, '13': {'Value Label': 'Injuries, including broken bones', 'Frequency': '1,154', 'Percentage': '5.93', 'Weighted Percentage': '5.65'}, '14': {'Value Label': 'Old age/ infirmity/frailty', 'Frequency': '2,487', 'Percentage': '12.77', 'Weighted Percentage': '12.07'}, '15': {'Value Label': 'Other', 'Frequency': '5,257', 'Percentage': '27.00', 'Weighted Percentage': '26.51'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '434', 'Percentage': '2.23', 'Weighted Percentage': '2.60'}, '99': {'Value Label': 'Refused', 'Frequency': '604', 'Percentage': '3.10', 'Weighted Percentage': '3.60'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9', 'Frequency': '425,660', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVALZD,Does Person Being Cared For Have Alzheimer´s Disease?,Caregiver,,6,344,Num,CRGVALZD,"Question:  Does the person you care for also have Alzheimer´s disease, dementia or other cognitive impairment disorder?","{'1': {'Value Label': 'Yes', 'Frequency': '2,499', 'Percentage': '14.45', 'Weighted Percentage': '14.17'}, '2': {'Value Label': 'No', 'Frequency': '14,257', 'Percentage': '82.41', 'Weighted Percentage': '82.42'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '384', 'Percentage': '2.22', 'Weighted Percentage': '2.42'}, '9': {'Value Label': 'Refused', 'Frequency': '160', 'Percentage': '0.92', 'Weighted Percentage': '1.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9; or Module 14.05, CRGVPRB3, is coded 5', 'Frequency': '427,832', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVPER1,Managed personal care,Caregiver,,7,345,Num,CRGVPER1,"Question:  In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?","{'1': {'Value Label': 'Yes', 'Frequency': '9,476', 'Percentage': '48.85', 'Weighted Percentage': '52.13'}, '2': {'Value Label': 'No', 'Frequency': '9,750', 'Percentage': '50.26', 'Weighted Percentage': '46.83'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '56', 'Percentage': '0.29', 'Weighted Percentage': '0.31'}, '9': {'Value Label': 'Refused', 'Frequency': '118', 'Percentage': '0.61', 'Weighted Percentage': '0.73'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9', 'Frequency': '425,732', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVHOU1,Managed household tasks,Caregiver,,8,346,Num,CRGVHOU1,"Question:  In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?","{'1': {'Value Label': 'Yes', 'Frequency': '15,397', 'Percentage': '79.53', 'Weighted Percentage': '80.56'}, '2': {'Value Label': 'No', 'Frequency': '3,801', 'Percentage': '19.63', 'Weighted Percentage': '18.32'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '44', 'Percentage': '0.23', 'Weighted Percentage': '0.32'}, '9': {'Value Label': 'Refused', 'Frequency': '118', 'Percentage': '0.61', 'Weighted Percentage': '0.81'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9', 'Frequency': '425,772', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
CRGVEXPT,Do you expect to have a relative you will need to provide care for?,Caregiver,,9,347,Num,CRGVEXPT,"Question:  In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?","{'1': {'Value Label': 'Yes', 'Frequency': '10,258', 'Percentage': '13.06', 'Weighted Percentage': '12.73'}, '2': {'Value Label': 'No', 'Frequency': '62,780', 'Percentage': '79.94', 'Weighted Percentage': '79.82'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '5,214', 'Percentage': '6.64', 'Weighted Percentage': '7.08'}, '9': {'Value Label': 'Refused', 'Frequency': '282', 'Percentage': '0.36', 'Weighted Percentage': '0.37'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 14.01, CAREGIV1, is coded 1 or 8', 'Frequency': '366,598', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,14
ACEDEPRS,"Live With Anyone Depressed, Mentally Ill, Or Suicidal?",Adverse Childhood Experiences,,1,348,Num,ACEDEPRS,"Question:  Did you live with anyone who was depressed, mentally ill, or suicidal?","{'1': {'Value Label': 'Yes', 'Frequency': '8,800', 'Percentage': '18.22', 'Weighted Percentage': '20.22'}, '2': {'Value Label': 'No', 'Frequency': '38,156', 'Percentage': '79.02', 'Weighted Percentage': '77.03'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '489', 'Percentage': '1.01', 'Weighted Percentage': '1.21'}, '9': {'Value Label': 'Refused', 'Frequency': '841', 'Percentage': '1.74', 'Weighted Percentage': '1.54'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '396,846', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEDRINK,Live With a Problem Drinker/Alcoholic?,Adverse Childhood Experiences,,2,349,Num,ACEDRINK,Question:  Did you live with anyone who was a problem drinker or alcoholic?,"{'1': {'Value Label': 'Yes', 'Frequency': '11,527', 'Percentage': '23.90', 'Weighted Percentage': '23.80'}, '2': {'Value Label': 'No', 'Frequency': '35,692', 'Percentage': '74.00', 'Weighted Percentage': '74.41'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '206', 'Percentage': '0.43', 'Weighted Percentage': '0.41'}, '9': {'Value Label': 'Refused', 'Frequency': '806', 'Percentage': '1.67', 'Weighted Percentage': '1.38'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '396,901', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEDRUGS,Live With Anyone Who Used Illegal Drugs or Abused Prescriptions?,Adverse Childhood Experiences,,3,350,Num,ACEDRUGS,Question:  Did you live with anyone who used illegal street drugs or who abused prescription medications?,"{'1': {'Value Label': 'Yes', 'Frequency': '4,691', 'Percentage': '9.73', 'Weighted Percentage': '12.41'}, '2': {'Value Label': 'No', 'Frequency': '42,448', 'Percentage': '88.03', 'Weighted Percentage': '85.56'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '307', 'Percentage': '0.64', 'Weighted Percentage': '0.75'}, '9': {'Value Label': 'Refused', 'Frequency': '774', 'Percentage': '1.61', 'Weighted Percentage': '1.29'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '396,912', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEPRISN,Live With Anyone Who Served TIme in Prison or Jail?,Adverse Childhood Experiences,,4,351,Num,ACEPRISN,"Question:  Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?","{'1': {'Value Label': 'Yes', 'Frequency': '3,549', 'Percentage': '7.36', 'Weighted Percentage': '10.03'}, '2': {'Value Label': 'No', 'Frequency': '43,701', 'Percentage': '90.68', 'Weighted Percentage': '88.22'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '178', 'Percentage': '0.37', 'Weighted Percentage': '0.46'}, '9': {'Value Label': 'Refused', 'Frequency': '766', 'Percentage': '1.59', 'Weighted Percentage': '1.28'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '396,938', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEDIVRC,Were Your Parents Divorced/Seperated?,Adverse Childhood Experiences,,5,352,Num,ACEDIVRC,Question:  Were your parents separated or divorced?,"{'1': {'Value Label': 'Yes', 'Frequency': '12,107', 'Percentage': '25.13', 'Weighted Percentage': '31.74'}, '2': {'Value Label': 'No', 'Frequency': '34,367', 'Percentage': '71.34', 'Weighted Percentage': '64.39'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '269', 'Percentage': '0.56', 'Weighted Percentage': '0.56'}, '8': {'Value Label': 'Parents not married', 'Frequency': '632', 'Percentage': '1.31', 'Weighted Percentage': '1.94'}, '9': {'Value Label': 'Refused', 'Frequency': '797', 'Percentage': '1.65', 'Weighted Percentage': '1.36'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '396,960', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEPUNCH,How Often Did Your Parents Beat Each Other Up?,Adverse Childhood Experiences,,6,353,Num,ACEPUNCH,"Question:  How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?","{'1': {'Value Label': 'Never', 'Frequency': '38,842', 'Percentage': '80.70', 'Weighted Percentage': '78.85'}, '2': {'Value Label': 'Once', 'Frequency': '1,795', 'Percentage': '3.73', 'Weighted Percentage': '4.16'}, '3': {'Value Label': 'More than once', 'Frequency': '5,816', 'Percentage': '12.08', 'Weighted Percentage': '13.69'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '672', 'Percentage': '1.40', 'Weighted Percentage': '1.46'}, '9': {'Value Label': 'Refused', 'Frequency': '1,004', 'Percentage': '2.09', 'Weighted Percentage': '1.84'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,003', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEHURT1,How Often Did A Parent Physically Hurt You In Any Way?,Adverse Childhood Experiences,,7,354,Num,ACEHURT1,"Question:  Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was it","{'1': {'Value Label': 'Never', 'Frequency': '35,092', 'Percentage': '72.99', 'Weighted Percentage': '69.50'}, '2': {'Value Label': 'Once', 'Frequency': '2,939', 'Percentage': '6.11', 'Weighted Percentage': '6.75'}, '3': {'Value Label': 'More than once', 'Frequency': '8,628', 'Percentage': '17.95', 'Weighted Percentage': '20.89'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '350', 'Percentage': '0.73', 'Weighted Percentage': '0.75'}, '9': {'Value Label': 'Refused', 'Frequency': '1,068', 'Percentage': '2.22', 'Weighted Percentage': '2.10'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,055', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACESWEAR,How Often Did A Parent Swear At You?,Adverse Childhood Experiences,,8,355,Num,ACESWEAR,"Question:  How often did a parent or adult in your home ever swear at you, insult you, or put you down?","{'1': {'Value Label': 'Never', 'Frequency': '30,266', 'Percentage': '63.02', 'Weighted Percentage': '60.20'}, '2': {'Value Label': 'Once', 'Frequency': '2,393', 'Percentage': '4.98', 'Weighted Percentage': '4.92'}, '3': {'Value Label': 'More than once', 'Frequency': '13,722', 'Percentage': '28.57', 'Weighted Percentage': '31.95'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '573', 'Percentage': '1.19', 'Weighted Percentage': '0.93'}, '9': {'Value Label': 'Refused', 'Frequency': '1,075', 'Percentage': '2.24', 'Weighted Percentage': '2.00'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,103', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACETOUCH,How Often Did Anyone Ever Touch You Sexually?,Adverse Childhood Experiences,,9,356,Num,ACETOUCH,"Question:  How often did anyone at least 5 years older than you or an adult, ever touch you sexually?","{'1': {'Value Label': 'Never', 'Frequency': '40,941', 'Percentage': '85.34', 'Weighted Percentage': '84.71'}, '2': {'Value Label': 'Once', 'Frequency': '1,940', 'Percentage': '4.04', 'Weighted Percentage': '4.13'}, '3': {'Value Label': 'More than once', 'Frequency': '3,677', 'Percentage': '7.66', 'Weighted Percentage': '8.36'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '202', 'Percentage': '0.42', 'Weighted Percentage': '0.42'}, '9': {'Value Label': 'Refused', 'Frequency': '1,212', 'Percentage': '2.53', 'Weighted Percentage': '2.39'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,160', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACETTHEM,How Often Did Anyone Make You Touch Them Sexually?,Adverse Childhood Experiences,,10,357,Num,ACETTHEM,"Question:  How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?","{'1': {'Value Label': 'Never', 'Frequency': '42,421', 'Percentage': '88.50', 'Weighted Percentage': '87.60'}, '2': {'Value Label': 'Once', 'Frequency': '1,497', 'Percentage': '3.12', 'Weighted Percentage': '3.46'}, '3': {'Value Label': 'More than once', 'Frequency': '2,626', 'Percentage': '5.48', 'Weighted Percentage': '6.33'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '216', 'Percentage': '0.45', 'Weighted Percentage': '0.44'}, '9': {'Value Label': 'Refused', 'Frequency': '1,176', 'Percentage': '2.45', 'Weighted Percentage': '2.16'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,196', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEHVSEX,How Often Did Anyone Ever Force You to Have Sex?,Adverse Childhood Experiences,,11,358,Num,ACEHVSEX,"Question:  How often did anyone at least 5 years older than you or an adult, force you to have sex?","{'1': {'Value Label': 'Never', 'Frequency': '44,050', 'Percentage': '92.01', 'Weighted Percentage': '91.71'}, '2': {'Value Label': 'Once', 'Frequency': '846', 'Percentage': '1.77', 'Weighted Percentage': '2.09'}, '3': {'Value Label': 'More than once', 'Frequency': '1,584', 'Percentage': '3.31', 'Weighted Percentage': '3.63'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '197', 'Percentage': '0.41', 'Weighted Percentage': '0.35'}, '9': {'Value Label': 'Refused', 'Frequency': '1,199', 'Percentage': '2.50', 'Weighted Percentage': '2.22'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,256', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEADSAF,Did an adult make you feel safe and protected,Adverse Childhood Experiences,,12,359,Num,ACEADSAF,"Question:  For how much of your childhood was there an adult in your household who made you feel safe and protected? Would you say never, a little of the time, some of the time, most of the time, or all of the time?","{'1': {'Value Label': 'Never', 'Frequency': '1,721', 'Percentage': '3.60', 'Weighted Percentage': '4.61'}, '2': {'Value Label': 'A little of the time', 'Frequency': '1,169', 'Percentage': '2.44', 'Weighted Percentage': '2.84'}, '3': {'Value Label': 'Some of the time', 'Frequency': '2,496', 'Percentage': '5.22', 'Weighted Percentage': '6.75'}, '4': {'Value Label': 'Most of the time', 'Frequency': '7,779', 'Percentage': '16.27', 'Weighted Percentage': '17.09'}, '5': {'Value Label': 'All of the time', 'Frequency': '33,559', 'Percentage': '70.18', 'Weighted Percentage': '66.58'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '251', 'Percentage': '0.52', 'Weighted Percentage': '0.60'}, '9': {'Value Label': 'Refused', 'Frequency': '846', 'Percentage': '1.77', 'Weighted Percentage': '1.53'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,311', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
ACEADNED,Did an adult make sure basic needs were met,Adverse Childhood Experiences,,13,360,Num,ACEADNED,"Question:  For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never, a little of the time, some of the time, most of the time, or all of the time?","{'1': {'Value Label': 'Never', 'Frequency': '726', 'Percentage': '1.52', 'Weighted Percentage': '2.35'}, '2': {'Value Label': 'A little of the time', 'Frequency': '641', 'Percentage': '1.34', 'Weighted Percentage': '1.74'}, '3': {'Value Label': 'Some of the time', 'Frequency': '1,388', 'Percentage': '2.91', 'Weighted Percentage': '3.68'}, '4': {'Value Label': 'Most of the time', 'Frequency': '5,211', 'Percentage': '10.91', 'Weighted Percentage': '12.11'}, '5': {'Value Label': 'All of the time', 'Frequency': '38,832', 'Percentage': '81.31', 'Weighted Percentage': '78.35'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '163', 'Percentage': '0.34', 'Weighted Percentage': '0.36'}, '9': {'Value Label': 'Refused', 'Frequency': '796', 'Percentage': '1.67', 'Weighted Percentage': '1.41'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '397,375', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,15
LSATISFY,Satisfaction with life,Social Determinants and Health Equity,,1,361,Num,LSATISFY,"Question:  In general, how satisfied are you with your life?","{'1': {'Value Label': 'Very satisfied', 'Frequency': '114,252', 'Percentage': '44.89', 'Weighted Percentage': '42.07'}, '2': {'Value Label': 'Satisfied', 'Frequency': '123,445', 'Percentage': '48.51', 'Weighted Percentage': '50.46'}, '3': {'Value Label': 'Dissatisfied', 'Frequency': '10,758', 'Percentage': '4.23', 'Weighted Percentage': '4.67'}, '4': {'Value Label': 'Very dissatisfied', 'Frequency': '3,062', 'Percentage': '1.20', 'Weighted Percentage': '1.38'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '1,864', 'Percentage': '0.73', 'Weighted Percentage': '0.90'}, '9': {'Value Label': 'Refused', 'Frequency': '1,107', 'Percentage': '0.43', 'Weighted Percentage': '0.51'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '190,644', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,16
